EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
长枪-金枪			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长枪-火枪			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-金			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-木			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-水			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手火刀-火			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-雷			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手剑-水			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手剑-雷			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手雷剑-雷			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双锤-金			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双刀-水			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-发光1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手剑-发光1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手火刀-发光1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手雷剑-发光1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长棍-发光1			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长枪-发光1			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双锤-发光1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双刀-发光1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-发光1			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双爪-发光1			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
空手-发光1			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手刀-发光2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手剑-发光2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手火刀-发光2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
单手雷剑-发光2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长棍-发光2			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长枪-发光2			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双锤-发光2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双刀-发光2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-发光2			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双爪-发光2			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
空手-发光2			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Quy Y Tri襫 Th?			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g C鵦 L筩 T╪g C玭			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g H? Kh玭g Gi韎 ?ao			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Chi課 Th莕 Ch飝			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Anh H飊g Th?琻g			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g B? V?琻g B秓 ?ao			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g T秐 Hoa Tr?阯g Ki誱																																																																											
Minh Ph?頽g L╪g Ti猽 Tri襫 Th?																																																																											
Minh Ph?頽g V筺 Hoa B秓 ?ao																																																																											
Minh Ph?頽g Ph?琻g Hoa Song ?ao																																																																											
Minh Ph?頽g Di猰 La Tri襫 Th?			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Minh V?琻g B秓 ?ao			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Li詍 Di謒 Phi ?ao			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Thi猲 Hoang T? Ti詎			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Thi猲 Ki猽 Phi Ti猽			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Thi誸 Huy誸 Tri襫 Th?			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Quang Ph鬰 Tr?頽g			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g D鬰 Nh藅 Th?琻g			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g S? мa ?ao			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g Kh玭g Minh Ki誱			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g B錸g Lai Ki誱			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Minh Ph?頽g C鰑 Thi猲 H祅 Thi誸			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
